1,5167,бол/ет,28764,4604,9506,9549,7830,60253,47880,108133
2,22195,ол/ес,14143,5271,1711,7039,4358,32522,30274,62796
3,20374,мен/шл,18249,4500,4650,4450,3146,34995,23411,58406
4,7612,де/ет,16392,329,5973,4498,2480,29672,16528,46200
5,1046,ал/ет,13294,3507,4382,2726,4231,28140,15219,43359
6,4804,бер/ет,9156,2679,3761,5808,2569,23973,16322,40295
7,10672,және/шл,15119,2389,1316,2757,307,21888,17877,39765
8,13629,кел/ет,5742,1257,2513,2155,3675,15342,19184,34526
9,7613,де/шл,6083,921,4063,3252,2587,16906,17037,33943
10,5642,бұл/ес,7293,869,2510,3203,1455,15330,17520,32850
11,7226,да/шл,4033,953,4951,731,185,10853,21256,32109
12,11750,жыл/зт,3219,14582,662,3393,497,22353,8529,30882
13,6109,бір/ес,8768,327,3133,2355,1745,16328,13960,30288
14,22686,өз/ес,10976,1043,1224,4934,742,18919,10675,29594
15,30536,тұр/ет,5910,429,4494,2475,3063,16371,12272,28643
16,26732,сөз/зт,7843,490,1066,1613,585,11597,14510,26107
17,22563,осы/ес,2806,2509,1547,2635,1384,10881,15114,25995
18,342,адам/зт,10575,1488,1587,1912,886,16448,9166,25614
19,15957,қазақ/зт,9741,76,232,1227,126,11402,13667,25069
20,650,айт/ет,4568,2228,3649,2724,3896,17065,6356,23421
21,6078,білім/зт,12612,984,50,769,57,14472,8443,22915
22,32568,үшін/шл,5717,2897,884,1912,1245,12655,9943,22598
23,14026,кет/ет,3353,145,4943,2096,2953,13490,8615,22105
24,8889,ел/зт,6875,860,854,2931,822,12342,9756,22098
25,22638,отыр/ет,3367,1225,2010,1683,1385,9670,12368,22038
26,16512,қандай/ес,13169,356,1110,924,1044,16603,4775,21378
27,8834,екен/шл,3366,25,2952,1994,2225,10562,10766,21328
28,6036,біз/ес,3466,58,1985,3164,1125,9798,11469,21267
29,26522,сол/ес,3524,389,2373,2309,1184,9779,10753,20532
30,10937,жер/зт,8193,68,1912,1791,1247,13211,6400,19611
31,31319,тіл/зт,1880,491,361,2680,257,5669,13935,19604
32,9463,ет/ет,3803,2388,1267,1624,723,9805,9142,18947
33,3989,бала/зт,6324,912,3415,1977,997,13625,5084,18709
34,7114,ғана/шл,9149,430,624,1068,54,11325,7070,18395
35,15521,күн/зт,4693,1857,3107,1653,808,12118,6127,18245
36,9010,емес/шл,3973,671,1488,1820,1661,9613,8625,18238
37,11697,жүр/ет,2515,33,2628,1911,2107,9194,7655,16849
38,33070,халық/зт,6290,75,261,1893,193,8712,7793,16505
40,16252,қал/ет,2974,251,2365,1737,1568,8895,7347,16242
41,4138,бар/ет,4194,688,2004,2655,1496,11037,5119,16156
42,11178,жоқ/мд,2665,58,648,1906,3069,8346,7769,16115
43,10445,жаса/ет,4946,713,743,1350,399,8151,7372,15523
